Ano,Area_km2,Fonte
1988,21050,INPE
1989,17770,INPE
1990,13730,INPE
1991,11030,INPE
1992,13786,INPE
1993,14896,INPE
1994,14896,INPE
1995,29059,INPE
1996,18161,INPE
1997,13227,INPE
1998,17283,INPE
1999,17259,INPE
2000,18226,INPE
2001,18224,INPE
2002,21551,INPE
2003,25253,INPE
2004,27772,INPE
2005,19014,INPE
2006,14286,INPE
2007,11651,INPE
2008,12911,INPE
2009,7464,INPE
2010,7000,INPE
2011,6418,INPE
2012,4571,INPE
2013,5891,INPE
2014,5012,INPE
2015,6207,INPE
2016,7893,INPE
2017,6947,INPE
2018,7536,INPE
2019,10129,INPE
2020,10951,INPE
2021,13235,INPE
2022,11568,INPE
2023,9017,INPE
